DID,turns,emotion,set
MPATHY-000219,4,guilty,train
MPATHY-000220,3,ashamed,train
MPATHY-000221,4,excited,train
MPATHY-000223,3,sentimental,train
MPATHY-000224,4,furious,train
MPATHY-000225,3,disgusted,train
MPATHY-000227,3,embarrassed,train
MPATHY-000228,3,grateful,train
MPATHY-000229,4,embarrassed,train
MPATHY-000230,3,hopeful,train
MPATHY-000231,4,nostalgic,train
MPATHY-000232,3,caring,train
MPATHY-000233,4,disappointed,train
MPATHY-000234,4,joyful,train
MPATHY-000235,3,content,train
MPATHY-000236,3,prepared,train
MPATHY-000237,3,excited,train
MPATHY-000238,3,disappointed,train
MPATHY-000240,3,nostalgic,train
MPATHY-000241,4,anxious,train
MPATHY-000242,3,jealous,train
MPATHY-000244,4,proud,train
MPATHY-000245,3,surprised,train
MPATHY-000246,3,afraid,train
MPATHY-000248,4,angry,train
MPATHY-000249,3,jealous,train
MPATHY-000250,3,prepared,train
MPATHY-000252,4,excited,train
MPATHY-000253,3,devastated,train
MPATHY-000255,3,excited,train
MPATHY-000257,3,apprehensive,train
MPATHY-000258,7,devastated,train
MPATHY-000259,3,content,train
MPATHY-000260,4,anxious,train
MPATHY-000261,3,afraid,train
MPATHY-000263,3,excited,train
MPATHY-000264,7,grateful,train
MPATHY-000265,7,grateful,train
MPATHY-000266,3,apprehensive,train
MPATHY-000267,4,jealous,train
MPATHY-000268,3,lonely,train
MPATHY-000270,3,nostalgic,train
MPATHY-000271,3,jealous,train
MPATHY-000272,3,impressed,train
MPATHY-000274,3,proud,train
MPATHY-000275,3,anticipating,train
MPATHY-000276,3,guilty,train
MPATHY-000277,4,joyful,train
MPATHY-000278,3,anxious,train
MPATHY-000279,5,angry,train
MPATHY-000280,3,content,train
MPATHY-000282,3,excited,train
MPATHY-000283,4,impressed,train
MPATHY-000284,3,surprised,train
MPATHY-000287,4,terrified,train
MPATHY-000288,4,furious,train
MPATHY-000289,3,sad,train
MPATHY-000290,6,confident,train
MPATHY-000291,6,annoyed,train
MPATHY-000296,3,terrified,train
MPATHY-000297,3,guilty,train
MPATHY-000298,3,afraid,train
MPATHY-000299,3,caring,train
MPATHY-000300,3,impressed,train
MPATHY-000301,7,sad,train
MPATHY-000302,3,proud,train
MPATHY-000303,3,joyful,train
MPATHY-000304,4,afraid,train
MPATHY-000305,3,annoyed,train
MPATHY-000306,3,faithful,train
MPATHY-000307,3,confident,train
MPATHY-000308,4,afraid,train
MPATHY-000310,5,anticipating,train
MPATHY-000312,4,devastated,train
MPATHY-000313,3,embarrassed,train
MPATHY-000314,3,surprised,train
MPATHY-000315,4,lonely,train
MPATHY-000316,3,embarrassed,train
MPATHY-000318,5,terrified,train
MPATHY-000320,3,devastated,train
MPATHY-000321,4,disgusted,train
MPATHY-000322,3,surprised,train
MPATHY-000325,3,proud,train
MPATHY-000326,3,surprised,train
MPATHY-000327,3,guilty,train
MPATHY-000330,7,devastated,train
MPATHY-000331,7,jealous,train
MPATHY-000333,3,prepared,train
MPATHY-000334,3,disappointed,train
MPATHY-000337,3,terrified,train
MPATHY-000339,5,terrified,train
MPATHY-000340,3,hopeful,train
MPATHY-000341,3,joyful,train
MPATHY-000344,3,angry,train
MPATHY-000345,3,apprehensive,train
MPATHY-000347,3,jealous,train
MPATHY-000348,3,confident,train
MPATHY-000349,4,guilty,train
MPATHY-000350,3,surprised,train
MPATHY-000352,3,surprised,train
MPATHY-000353,3,faithful,train
MPATHY-000354,3,impressed,train
MPATHY-000356,3,surprised,train
MPATHY-000357,3,proud,train
MPATHY-000358,3,proud,train
MPATHY-000359,3,surprised,train
MPATHY-000360,3,nostalgic,train
MPATHY-000361,3,sad,train
MPATHY-000362,3,faithful,train
MPATHY-000363,3,proud,train
MPATHY-000364,3,faithful,train
MPATHY-000366,3,joyful,train
MPATHY-000367,4,apprehensive,train
MPATHY-000369,4,annoyed,train
MPATHY-000371,4,disappointed,train
MPATHY-000372,4,terrified,train
MPATHY-000373,3,guilty,train
MPATHY-000374,3,confident,train
MPATHY-000376,3,surprised,train
MPATHY-000377,4,surprised,train
MPATHY-000378,3,grateful,train
MPATHY-000379,3,confident,train
MPATHY-000383,3,guilty,train
MPATHY-000384,4,grateful,train
MPATHY-000385,3,angry,train
MPATHY-000386,3,excited,train
MPATHY-000387,3,lonely,train
MPATHY-000388,3,proud,train
MPATHY-000389,3,nostalgic,train
MPATHY-000390,3,furious,train
MPATHY-000392,3,terrified,train
MPATHY-000393,4,confident,train
MPATHY-000394,3,hopeful,train
MPATHY-000396,4,joyful,train
MPATHY-000397,4,caring,train
MPATHY-000399,3,excited,train
MPATHY-000400,6,disappointed,train
MPATHY-000401,5,lonely,train
MPATHY-000402,4,terrified,train
MPATHY-000403,3,confident,train
MPATHY-000404,3,joyful,train
MPATHY-000406,3,hopeful,train
MPATHY-000408,4,confident,train
MPATHY-000409,3,jealous,train
MPATHY-000411,3,joyful,train
MPATHY-000412,3,furious,train
MPATHY-000415,3,hopeful,train
MPATHY-000419,3,annoyed,train
MPATHY-000421,3,confident,train
MPATHY-000422,7,anticipating,train
MPATHY-000423,6,grateful,train
MPATHY-000424,5,lonely,train
MPATHY-000425,3,excited,train
MPATHY-000426,3,afraid,train
MPATHY-000427,3,impressed,train
MPATHY-000428,7,annoyed,train
MPATHY-000429,5,jealous,train
MPATHY-000431,4,excited,train
MPATHY-000432,5,disgusted,train
MPATHY-000438,3,embarrassed,train
MPATHY-000439,3,disappointed,train
MPATHY-000443,3,lonely,train
MPATHY-000444,3,excited,train
MPATHY-000445,3,apprehensive,train
MPATHY-000446,4,hopeful,train
MPATHY-000448,3,terrified,train
MPATHY-000449,3,proud,train
MPATHY-000450,4,prepared,train
MPATHY-000451,3,devastated,train
MPATHY-000452,3,annoyed,train
MPATHY-000453,4,lonely,train
MPATHY-000456,4,surprised,train
MPATHY-000457,3,prepared,train
MPATHY-000458,3,anticipating,train
MPATHY-000460,5,furious,train
MPATHY-000463,3,nostalgic,train
MPATHY-000464,3,disgusted,train
MPATHY-000465,4,angry,train
MPATHY-000466,3,impressed,train
MPATHY-000467,3,prepared,train
MPATHY-000469,3,hopeful,train
MPATHY-000471,3,annoyed,train
MPATHY-000473,3,disappointed,train
MPATHY-000475,3,guilty,train
MPATHY-000478,5,sad,train
MPATHY-000479,4,trusting,train
MPATHY-000480,4,afraid,train
MPATHY-000482,4,nostalgic,train
MPATHY-000483,3,grateful,train
MPATHY-000484,4,sad,train
MPATHY-000486,3,excited,train
MPATHY-000488,3,terrified,train
MPATHY-000490,3,devastated,train
MPATHY-000492,3,joyful,train
MPATHY-000493,3,joyful,train
MPATHY-000494,3,sad,train
MPATHY-000495,4,impressed,train
MPATHY-000497,5,disappointed,train
MPATHY-000501,3,afraid,train
MPATHY-000502,4,embarrassed,train
MPATHY-000503,4,confident,train
MPATHY-000504,4,devastated,train
MPATHY-000505,3,terrified,train
MPATHY-000506,3,surprised,train
MPATHY-000509,3,terrified,train
MPATHY-000511,3,ashamed,train
MPATHY-000513,3,hopeful,train
MPATHY-000514,3,apprehensive,train
MPATHY-000516,5,surprised,train
MPATHY-000518,3,sad,train
MPATHY-000519,3,nostalgic,train
MPATHY-000520,3,excited,train
MPATHY-000521,4,guilty,train
MPATHY-000522,4,afraid,train
MPATHY-000523,3,disappointed,train
MPATHY-000524,3,excited,train
MPATHY-000525,3,embarrassed,train
MPATHY-000527,3,hopeful,train
MPATHY-000528,3,excited,train
MPATHY-000529,3,anxious,train
MPATHY-000531,5,hopeful,train
MPATHY-000533,3,disappointed,train
MPATHY-000534,4,caring,train
MPATHY-000536,3,lonely,train
MPATHY-000538,3,devastated,train
MPATHY-000541,3,ashamed,train
MPATHY-000543,3,proud,train
MPATHY-000546,3,anxious,train
MPATHY-000547,3,embarrassed,train
MPATHY-000549,3,disgusted,train
MPATHY-000553,3,grateful,train
MPATHY-000554,3,jealous,train
MPATHY-000555,3,angry,train
MPATHY-000556,3,prepared,train
MPATHY-000558,3,nostalgic,train
MPATHY-000561,3,apprehensive,train
MPATHY-000562,3,furious,train
MPATHY-000566,3,surprised,train
MPATHY-000567,3,surprised,train
MPATHY-000568,3,devastated,train
MPATHY-000570,3,sentimental,train
MPATHY-000572,3,afraid,train
MPATHY-000573,3,surprised,train
MPATHY-000574,3,jealous,train
MPATHY-000575,3,surprised,train
MPATHY-000576,3,angry,train
MPATHY-000578,3,jealous,train
MPATHY-000580,3,sad,train
MPATHY-000583,3,ashamed,train
MPATHY-000584,3,disgusted,train
MPATHY-000585,3,faithful,train
MPATHY-000586,3,annoyed,train
MPATHY-000588,5,disappointed,train
MPATHY-000589,3,confident,train
MPATHY-000590,3,guilty,train
MPATHY-000592,5,proud,train
MPATHY-000593,0,embarrassed,train
MPATHY-000594,3,nostalgic,train
MPATHY-000596,3,anticipating,train
MPATHY-000597,3,confident,train
MPATHY-000599,3,jealous,train
MPATHY-000600,3,prepared,train
MPATHY-000602,3,faithful,train
MPATHY-000603,3,impressed,train
MPATHY-000604,3,prepared,train
MPATHY-000605,3,angry,train
MPATHY-000606,4,surprised,train
MPATHY-000607,3,jealous,train
MPATHY-000609,3,caring,train
MPATHY-000610,4,jealous,train
MPATHY-000611,3,excited,train
MPATHY-000612,3,afraid,train
MPATHY-000614,3,confident,train
MPATHY-000616,3,excited,train
MPATHY-000617,3,grateful,train
MPATHY-000619,3,surprised,train
MPATHY-000620,3,ashamed,train
MPATHY-000622,3,lonely,train
MPATHY-000623,3,angry,train
MPATHY-000624,3,jealous,train
MPATHY-000625,3,embarrassed,train
MPATHY-000626,3,terrified,train
MPATHY-000628,3,sad,train
MPATHY-000629,3,proud,train
MPATHY-000630,3,disgusted,train
MPATHY-000631,3,proud,train
MPATHY-000634,3,sentimental,train
MPATHY-000636,3,embarrassed,train
MPATHY-000637,4,proud,train
MPATHY-000639,3,sad,train
MPATHY-000640,3,excited,train
MPATHY-000641,3,grateful,train
MPATHY-000642,5,jealous,train
MPATHY-000644,3,hopeful,train
MPATHY-000646,3,sad,train
MPATHY-000647,3,annoyed,train
MPATHY-000648,3,content,train
MPATHY-000650,3,impressed,train
MPATHY-000651,3,impressed,train
MPATHY-000652,4,sentimental,train
MPATHY-000653,3,sad,train
MPATHY-000654,3,terrified,train
MPATHY-000656,3,guilty,train
MPATHY-000657,3,annoyed,train
MPATHY-000658,3,surprised,train
MPATHY-000664,3,angry,train
MPATHY-000665,3,embarrassed,train
MPATHY-000666,3,disgusted,train
MPATHY-000667,3,grateful,train
MPATHY-000668,3,joyful,train
MPATHY-000669,3,surprised,train
MPATHY-000670,3,ashamed,train
MPATHY-000672,3,terrified,train
MPATHY-000673,3,anxious,train
MPATHY-000676,4,trusting,train
MPATHY-000677,3,apprehensive,train
MPATHY-000678,3,disgusted,train
MPATHY-000679,4,guilty,train
MPATHY-000683,3,excited,train
MPATHY-000684,3,anxious,train
MPATHY-000685,4,ashamed,train
MPATHY-000686,4,sad,train
MPATHY-000687,3,impressed,train
MPATHY-000688,4,afraid,train
MPATHY-000689,3,prepared,train
MPATHY-000690,3,sad,train
MPATHY-000691,4,confident,train
MPATHY-000694,4,surprised,train
MPATHY-000696,3,terrified,train
MPATHY-000697,4,guilty,train
MPATHY-000698,3,proud,train
MPATHY-000699,3,surprised,train
MPATHY-000700,3,sad,train
MPATHY-000702,3,anxious,train
MPATHY-000703,4,joyful,train
MPATHY-000704,3,nostalgic,train
MPATHY-000706,3,afraid,train
MPATHY-000708,3,trusting,train
MPATHY-000710,3,joyful,train
MPATHY-000712,3,disgusted,train
MPATHY-000713,3,caring,train
MPATHY-000714,3,anticipating,train
MPATHY-000715,3,sentimental,train
MPATHY-000716,3,hopeful,train
MPATHY-000717,3,angry,train
MPATHY-000718,3,anticipating,train
MPATHY-000719,3,angry,train
MPATHY-000720,3,confident,train
MPATHY-000722,3,joyful,train
MPATHY-000723,3,guilty,train
MPATHY-000724,3,afraid,train
MPATHY-000725,4,sad,train
MPATHY-000726,3,faithful,train
MPATHY-000727,3,guilty,train
MPATHY-000728,3,surprised,train
MPATHY-000729,4,grateful,train
MPATHY-000730,3,joyful,train
MPATHY-000731,4,caring,train
MPATHY-000732,3,content,train
MPATHY-000733,3,guilty,train
MPATHY-000734,3,angry,train
MPATHY-000735,4,nostalgic,train
MPATHY-000736,4,embarrassed,train
MPATHY-000737,3,terrified,train
MPATHY-000738,4,anticipating,train
MPATHY-000739,3,guilty,train
MPATHY-000740,3,angry,train
MPATHY-000741,3,grateful,train
MPATHY-000742,4,sentimental,train
MPATHY-000743,3,nostalgic,train
MPATHY-000744,3,annoyed,train
MPATHY-000745,3,anticipating,train
MPATHY-000747,3,jealous,train
MPATHY-000749,5,anxious,train
MPATHY-000750,3,devastated,train
MPATHY-000751,4,apprehensive,train
MPATHY-000752,3,nostalgic,train
MPATHY-000753,3,hopeful,train
MPATHY-000754,3,guilty,train
MPATHY-000755,3,surprised,train
MPATHY-000756,5,jealous,train
MPATHY-000757,4,jealous,train
MPATHY-000758,4,excited,train
MPATHY-000759,3,lonely,train
MPATHY-000760,3,sentimental,train
MPATHY-000762,4,impressed,train
MPATHY-000763,5,guilty,train
MPATHY-000764,4,prepared,train
MPATHY-000766,5,excited,train
MPATHY-000767,4,impressed,train
MPATHY-000768,3,caring,train
MPATHY-000769,3,grateful,train
MPATHY-000771,3,surprised,train
MPATHY-000772,5,angry,train
MPATHY-000774,3,excited,train
MPATHY-000775,3,devastated,train
MPATHY-000777,3,furious,train
MPATHY-000778,4,terrified,train
MPATHY-000781,5,content,train
MPATHY-000782,3,angry,train
MPATHY-000783,3,excited,train
MPATHY-000785,3,disappointed,train
MPATHY-000786,3,grateful,train
MPATHY-000787,4,excited,train
MPATHY-000788,3,jealous,train
MPATHY-000789,3,annoyed,train
MPATHY-000791,4,devastated,train
MPATHY-000795,3,disgusted,train
MPATHY-000796,3,excited,train
MPATHY-000797,3,excited,train
MPATHY-000798,3,angry,train
MPATHY-000799,3,joyful,train
MPATHY-000800,3,anxious,train
MPATHY-000801,3,surprised,train
MPATHY-000803,3,anxious,train
MPATHY-000804,4,disappointed,train
MPATHY-000805,3,embarrassed,train
MPATHY-000808,3,anxious,train
MPATHY-000809,3,joyful,train
MPATHY-000811,3,faithful,train
MPATHY-000812,3,ashamed,train
MPATHY-000813,3,surprised,train
MPATHY-000816,3,nostalgic,train
MPATHY-000818,3,afraid,train
MPATHY-000820,7,surprised,train
MPATHY-000822,3,caring,train
MPATHY-000825,3,confident,train
MPATHY-000827,3,prepared,train
MPATHY-000828,3,annoyed,train
MPATHY-000829,4,lonely,train
MPATHY-000833,5,impressed,train
MPATHY-000834,3,surprised,train
MPATHY-000835,3,lonely,train
MPATHY-000836,3,proud,train
MPATHY-000837,4,anxious,train
MPATHY-000839,5,surprised,train
MPATHY-000840,4,lonely,train
MPATHY-000841,6,angry,train
MPATHY-000842,3,guilty,train
MPATHY-000843,4,embarrassed,train
MPATHY-000845,7,nostalgic,train
MPATHY-000848,4,annoyed,train
MPATHY-000850,3,disgusted,train
MPATHY-000851,3,proud,train
MPATHY-000853,3,furious,train
MPATHY-000854,5,ashamed,train
MPATHY-000856,3,apprehensive,train
MPATHY-000859,3,joyful,train
MPATHY-000863,3,apprehensive,train
MPATHY-000867,3,grateful,train
MPATHY-000868,3,sad,train
MPATHY-000869,4,surprised,train
MPATHY-000870,3,sentimental,train
MPATHY-000871,3,nostalgic,train
MPATHY-000873,3,trusting,train
MPATHY-000874,3,sad,train
MPATHY-000875,3,anxious,train
MPATHY-000876,3,excited,train
MPATHY-000878,4,guilty,train
MPATHY-000880,3,devastated,train
MPATHY-000881,3,anticipating,train
MPATHY-000884,3,content,train
MPATHY-000885,3,devastated,train
MPATHY-000886,3,content,train
MPATHY-000887,3,impressed,train
MPATHY-000890,3,devastated,train
MPATHY-000891,3,lonely,train
MPATHY-000892,6,afraid,train
MPATHY-000894,3,anticipating,train
MPATHY-000896,3,surprised,train
MPATHY-000897,3,faithful,train
MPATHY-000898,3,annoyed,train
MPATHY-000901,3,hopeful,train
MPATHY-000902,3,sad,train
MPATHY-000903,3,faithful,train
MPATHY-000904,3,angry,train
MPATHY-000906,3,sentimental,train
MPATHY-000907,3,apprehensive,train
MPATHY-000909,4,sad,train
MPATHY-000911,3,disappointed,train
MPATHY-000912,5,nostalgic,train
MPATHY-000914,4,anticipating,train
MPATHY-000916,3,confident,train
MPATHY-000917,3,nostalgic,train
MPATHY-000918,6,lonely,train
MPATHY-000919,5,proud,train
MPATHY-000920,3,nostalgic,train
MPATHY-000923,3,anticipating,train
MPATHY-000924,3,hopeful,train
MPATHY-000926,3,disappointed,train
MPATHY-000927,4,joyful,train
MPATHY-000928,3,content,train
MPATHY-000929,3,ashamed,train
MPATHY-000930,3,proud,train
MPATHY-000932,3,surprised,train
MPATHY-000936,3,anxious,train
MPATHY-000937,3,hopeful,train
MPATHY-000938,7,sad,train
MPATHY-000941,3,sad,train
MPATHY-000942,4,proud,train
MPATHY-000943,3,furious,train
MPATHY-000945,3,disappointed,train
MPATHY-000946,6,trusting,train
MPATHY-000947,5,anticipating,train
MPATHY-000949,3,anxious,train
MPATHY-000950,4,angry,train
MPATHY-000951,3,angry,train
MPATHY-000953,3,caring,train
MPATHY-000954,3,afraid,train
MPATHY-000955,4,sentimental,train
MPATHY-000956,4,afraid,train
MPATHY-000957,3,disgusted,train
MPATHY-000958,3,lonely,train
MPATHY-000960,3,anticipating,train
MPATHY-000962,3,content,train
MPATHY-000963,3,surprised,train
MPATHY-000964,4,disappointed,train
MPATHY-000965,3,disappointed,train
MPATHY-000967,3,joyful,train
MPATHY-000968,3,furious,train
MPATHY-000969,3,proud,train
MPATHY-000970,3,trusting,train
MPATHY-000972,3,surprised,train
MPATHY-000975,3,anxious,train
MPATHY-000976,3,surprised,train
MPATHY-000977,3,prepared,train
MPATHY-000978,3,confident,train
MPATHY-000979,3,excited,train
MPATHY-000981,3,joyful,train
MPATHY-000984,3,guilty,train
MPATHY-000987,3,excited,train
MPATHY-000988,4,hopeful,train
MPATHY-000990,4,excited,train
MPATHY-000991,3,grateful,train
MPATHY-000992,3,proud,train
MPATHY-000993,3,guilty,train
MPATHY-000994,3,anticipating,train
MPATHY-000995,3,annoyed,train
MPATHY-000996,3,disappointed,train
MPATHY-000997,3,excited,train
MPATHY-000998,3,surprised,train
MPATHY-001001,6,joyful,train
MPATHY-001004,3,angry,train
MPATHY-001006,3,jealous,train
MPATHY-001008,3,hopeful,train
MPATHY-001009,3,hopeful,train
MPATHY-001010,3,proud,train
MPATHY-001011,3,joyful,train
MPATHY-001016,3,guilty,train
MPATHY-001019,3,anxious,train
MPATHY-001021,3,trusting,train
MPATHY-001022,4,sad,train
MPATHY-001023,6,terrified,train
MPATHY-001024,4,nostalgic,train
MPATHY-001025,3,ashamed,train
MPATHY-001028,3,impressed,train
MPATHY-001033,3,surprised,train
MPATHY-001034,3,lonely,train
MPATHY-001037,3,grateful,train
MPATHY-001040,3,terrified,train
MPATHY-001045,3,terrified,train
MPATHY-001047,7,excited,train
MPATHY-001049,3,prepared,train
MPATHY-001050,3,excited,train
MPATHY-001051,3,guilty,train
MPATHY-001052,4,sad,train
MPATHY-001054,3,excited,train
MPATHY-001055,4,anxious,train
MPATHY-001059,4,guilty,train
MPATHY-001061,3,disappointed,train
MPATHY-001063,3,faithful,train
MPATHY-001066,3,nostalgic,train
MPATHY-001070,3,proud,train
MPATHY-001071,3,terrified,train
MPATHY-001072,5,impressed,train
MPATHY-001074,4,surprised,train
MPATHY-001075,3,surprised,train
MPATHY-001078,3,trusting,train
MPATHY-001081,3,grateful,train
MPATHY-001082,3,anxious,train
MPATHY-001083,3,jealous,train
MPATHY-001084,3,jealous,train
MPATHY-001085,4,faithful,train
MPATHY-001086,3,devastated,train
MPATHY-001087,3,trusting,train
MPATHY-001088,5,proud,train
MPATHY-001090,3,embarrassed,train
MPATHY-001092,4,anticipating,train
MPATHY-001094,3,afraid,train
MPATHY-001097,3,prepared,train
MPATHY-001098,4,caring,train
MPATHY-001099,3,proud,train
MPATHY-001101,3,apprehensive,train
MPATHY-001102,4,prepared,train
MPATHY-001103,3,surprised,train
MPATHY-001106,3,terrified,train
MPATHY-001107,3,afraid,train
MPATHY-001108,3,excited,train
MPATHY-001110,3,surprised,train
MPATHY-001113,4,terrified,train
MPATHY-001115,3,terrified,train
MPATHY-001117,3,prepared,train
MPATHY-001119,3,terrified,train
MPATHY-001120,3,proud,train
MPATHY-001121,3,furious,train
MPATHY-001123,3,excited,train
MPATHY-001125,4,afraid,train
MPATHY-001131,3,excited,train
MPATHY-001133,3,caring,train
MPATHY-001135,3,afraid,train
MPATHY-001136,4,afraid,train
MPATHY-001137,3,trusting,train
MPATHY-001139,3,lonely,train
MPATHY-001140,4,furious,train
MPATHY-001141,3,lonely,train
MPATHY-001142,3,proud,train
MPATHY-001143,3,faithful,train
MPATHY-001145,4,confident,train
MPATHY-001147,3,angry,train
MPATHY-001148,3,joyful,train
MPATHY-001149,3,guilty,train
MPATHY-001151,3,afraid,train
